0.1846,    0.3632,   -0.0857,   -0.4159,    0.3555,   -0.5595,    0.0453,   -0.2311,    0.1736,   -0.0525,   -0.3531,   -0.0354,
-0.3521,    0.5374,    0.0034,   -0.1036,    0.1531,    0.0423,    0.4754,    0.1299,   -0.1744,   -0.1842,    0.4939,    0.0074,
0.3808,    0.4487,   -0.2927,    0.6299,    0.0367,    0.1592,    0.0452,   -0.1800,    0.3171,    0.0884,    0.0412,   -0.0036,
0.6241,   -0.1863,   -0.1450,   -0.2937,   -0.1254,    0.0787,    0.0638,   -0.2851,   -0.1856,   -0.3703,    0.4301,   -0.0677,
-0.1062,    0.1300,    0.0015,   -0.1579,   -0.6611,   -0.0051,    0.1048,    0.1446,    0.5308,   -0.3924,   -0.1405,   -0.1497,
-0.0030,   -0.0414,    0.2090,   -0.0371,   -0.1367,    0.1426,    0.4524,   -0.3690,   -0.0946,    0.3832,   -0.1557,   -0.6272,
0.1772,   -0.0105,    0.5176,   -0.2179,    0.3662,    0.5247,    0.1129,    0.0152,    0.4213,   -0.0444,   -0.0537,    0.2198,
0.4208,    0.1305,    0.1444,    0.0609,   -0.2183,   -0.0339,    0.3931,    0.4407,   -0.3980,    0.0356,   -0.3852,    0.2754,
0.1825,   -0.2818,   -0.0854,   -0.0661,    0.0364,   -0.3449,    0.2636,    0.3919,    0.4070,    0.4554,    0.3987,   -0.0159,
0.1388,   -0.0641,    0.2458,    0.2859,    0.3250,   -0.1441,   -0.1200,    0.4020,   -0.0289,   -0.4097,   -0.0056,   -0.6027,
-0.1688,   -0.4285,    0.0448,    0.3699,    0.1241,   -0.2599,    0.4991,   -0.3100,    0.1010,   -0.3621,   -0.0951,    0.2656,
-0.0810,   -0.2007,   -0.6955,   -0.1811,    0.2707,    0.3867,    0.2236,    0.2306,    0.0331,   -0.0898,   -0.2852,   -0.1420
